@relation commons-jexl_COMMONS_JEXL_2_0_1-RC3
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.136,0.0,0.109,0.0,0.333,0.055,0.5,0.0,0.0,0.021,0.245,0.017,0.063,0.019,0.084,0.013,0.062,0.001,0.04,0.262,0.08,0.185,0.305,0.025,0.0,0.0,0.072,0.0,0.0,0.039,0.062,0.025,0.0,0.133,0.0,0.0,0.0,0.1,0.002,0.0,-1.0
0.182,0.0,0.945,0.0,0.0,0.478,0.525,0.091,0.429,0.43,0.735,0.436,0.313,0.432,0.368,0.365,1.0,0.368,0.424,0.23,0.223,0.238,0.293,0.07,0.571,0.105,0.0,0.0,0.0,0.093,0.14,0.071,0.01,0.12,0.0,0.0,0.0,0.145,0.002,0.0,1.0
0.0,0.0,0.0,0.211,0.0,0.018,0.0,0.97,0.071,0.001,0.02,0.002,0.016,0.001,0.014,0.001,0.001,0.0,0.066,0.11,0.0,0.026,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,-1.0
0.136,0.0,0.109,0.0,0.333,0.057,0.5,0.0,0.286,0.024,0.224,0.028,0.11,0.025,0.123,0.018,0.057,0.001,0.3,0.246,0.167,0.16,0.357,0.084,0.094,0.0,0.061,0.0,0.0,0.021,0.051,0.084,0.0,0.057,0.0,0.0,0.0,0.097,0.002,0.0,1.0
0.5,0.0,0.982,0.0,0.0,1.0,0.605,0.242,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.994,1.0,0.682,0.689,0.447,0.608,0.503,0.42,0.571,0.165,0.303,0.5,0.283,0.067,0.376,0.576,0.145,0.467,0.0,0.0,0.0,0.239,0.002,0.0,1.0
0.227,0.0,0.382,0.0,0.0,0.551,0.55,0.061,0.071,0.468,0.837,0.434,0.486,0.455,0.531,0.41,0.736,0.305,0.118,1.0,0.441,0.614,1.0,0.319,0.383,0.05,0.484,0.03,0.359,0.046,0.156,0.371,0.17,0.427,0.0,0.0,0.0,0.361,0.003,0.0,1.0
0.0,0.0,0.0,0.053,0.0,0.018,0.0,1.0,0.0,0.002,0.061,0.003,0.019,0.002,0.022,0.001,0.009,0.0,0.0,0.11,0.0,0.026,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.148,0.0,0.0,-1.0
0.636,0.25,0.582,0.0,0.0,0.56,0.605,0.727,0.786,0.366,0.816,0.358,0.743,0.363,0.752,0.347,0.391,0.14,0.484,0.384,0.255,0.315,0.29,0.119,0.44,0.025,0.264,0.12,0.048,0.054,0.079,0.218,0.14,0.22,0.0,0.0,0.0,0.495,0.004,0.571,1.0
0.045,0.0,0.0,0.0,0.0,0.009,0.5,0.03,0.071,0.366,0.816,0.358,0.743,0.363,0.752,0.347,0.391,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.091,0.0,0.0,0.0,0.0,0.045,0.5,0.03,0.0,0.366,0.816,0.358,0.743,0.363,0.752,0.347,0.391,0.14,0.334,0.382,0.2,0.192,0.204,0.084,0.191,0.0,0.48,0.0,0.0,0.0,0.0,0.166,0.0,0.11,0.0,0.0,0.0,0.143,0.0,0.0,1.0
0.182,0.25,0.109,0.0,0.0,0.083,0.5,0.152,0.214,0.054,0.408,0.052,0.129,0.053,0.163,0.039,0.157,0.007,0.3,0.492,0.55,0.538,0.152,0.188,0.286,0.0,0.542,0.0,0.0,0.161,0.0,0.312,0.0,0.167,0.0,0.0,0.0,0.479,0.002,0.0,-1.0
0.0,0.0,0.0,0.053,0.0,0.006,0.0,0.182,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.164,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,-1.0
0.0,0.0,0.018,0.0,0.0,0.027,0.0,0.0,0.286,0.028,0.388,0.027,0.129,0.028,0.161,0.021,0.076,0.002,1.0,0.656,0.9,1.0,0.0,1.0,0.286,0.5,0.722,1.0,0.69,0.321,0.311,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.016,0.0,-1.0
