@relation flink_release-0.8.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.097,0.032,0.135,0.0,0.0,0.136,0.705,0.004,0.184,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.126,0.062,0.067,0.048,0.11,0.022,0.047,0.0,0.007,0.0,0.0,0.024,0.012,0.042,0.008,0.1,0.0,0.0,0.0,0.164,0.004,0.0,-1.0
0.022,0.022,0.05,0.04,0.0,0.022,0.645,0.007,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.019,0.038,0.011,0.015,0.05,0.0,0.029,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.269,0.0,0.0,0.0,0.0,0.042,0.001,0.0,-1.0
0.011,0.011,0.028,0.0,0.0,0.013,0.75,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.0,0.038,0.022,0.018,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.036,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.074,0.038,0.0,0.018,0.1,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.011,0.0,0.014,0.0,0.0,0.017,0.5,0.0,0.041,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.037,0.058,0.011,0.036,0.05,0.047,0.029,0.125,0.0,0.0,0.0,0.0,0.007,0.056,0.0,0.2,0.0,0.0,0.0,0.071,0.0,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.111,0.038,0.0,0.018,0.1,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.074,0.038,0.022,0.018,0.1,0.0,0.118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.024,0.001,0.0,-1.0
0.0,0.0,0.007,0.0,0.0,0.005,0.0,0.0,0.02,0.004,0.686,0.007,0.018,0.005,0.021,0.003,0.143,0.001,0.111,0.038,0.022,0.018,0.1,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.001,0.0,-1.0
0.022,0.022,0.014,0.0,0.0,0.014,1.0,0.002,0.02,0.003,0.275,0.004,0.013,0.003,0.014,0.002,0.048,0.0,0.148,0.077,0.043,0.042,0.1,0.031,0.059,0.25,0.0,0.0,0.0,0.0,0.037,0.022,0.0,0.2,0.0,0.0,0.0,0.226,0.009,0.0,-1.0
