@relation knox_v0.6.0-release
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.122,0.012,0.044,0.008,0.049,0.005,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.122,0.012,0.044,0.008,0.049,0.005,0.034,0.0,0.105,0.091,0.0,0.016,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.007,0.122,0.012,0.044,0.008,0.049,0.005,0.034,0.0,0.105,0.091,0.0,0.016,0.0,0.0,0.769,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.116,0.0,0.0,-1.0
0.255,0.6,0.036,0.0,0.0,0.032,0.5,0.043,0.111,0.031,0.367,0.037,0.101,0.033,0.12,0.024,0.125,0.004,0.145,0.091,0.121,0.104,0.143,0.088,0.048,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,0.116,0.009,0.0,-1.0
0.0,0.0,0.012,0.0,0.0,0.027,0.0,0.029,0.278,0.025,0.327,0.034,0.056,0.028,0.075,0.019,0.177,0.004,0.211,0.227,0.189,0.144,0.143,0.088,0.288,0.536,0.042,0.0,0.0,0.008,0.0,0.08,0.0,0.25,0.0,0.0,0.0,0.181,0.01,0.0,-1.0
0.333,0.0,0.193,0.0,0.0,0.166,0.625,0.057,0.944,0.12,0.51,0.158,0.262,0.133,0.279,0.115,0.292,0.04,0.211,0.234,0.13,0.204,0.029,0.095,0.448,0.021,0.103,0.082,0.035,0.014,0.0,0.104,0.051,0.142,0.0,0.0,0.0,0.165,0.001,0.2,1.0
0.039,0.0,0.012,0.0,0.0,0.021,0.665,0.014,0.0,0.12,0.51,0.158,0.262,0.133,0.279,0.115,0.292,0.04,0.066,0.136,0.038,0.092,0.214,0.0,0.24,0.0,0.042,0.0,0.0,0.0,0.02,0.091,0.0,0.062,0.0,0.0,0.0,0.12,0.002,0.0,1.0
0.137,0.0,0.084,0.0,0.0,0.062,0.585,0.014,0.111,0.12,0.51,0.158,0.262,0.133,0.279,0.115,0.292,0.04,0.023,0.143,0.048,0.08,0.203,0.017,0.027,0.0,0.095,0.0,0.0,0.005,0.0,0.039,0.0,0.142,0.0,0.0,0.0,0.085,0.001,0.0,1.0
0.059,0.0,0.048,0.0,0.0,0.032,0.61,0.014,0.0,0.02,0.367,0.029,0.08,0.023,0.1,0.017,0.119,0.003,0.138,0.136,0.053,0.072,0.0,0.037,0.362,0.0,0.042,0.0,0.0,0.013,0.01,0.045,0.029,0.032,0.0,0.0,0.0,0.154,0.003,0.0,-1.0
0.02,0.0,0.024,0.0,0.0,0.005,0.5,0.0,0.0,0.02,0.367,0.029,0.08,0.023,0.1,0.017,0.119,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.3,0.111,0.202,0.449,0.349,0.548,0.255,0.541,0.244,0.282,0.082,0.077,0.091,0.0,0.016,0.0,0.0,0.267,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.214,0.0,0.02,0.204,0.043,0.159,0.028,0.162,0.022,0.056,0.002,0.053,0.091,0.0,0.016,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.0,0.0,1.0
0.275,0.0,0.157,0.0,0.0,0.258,0.545,0.186,1.0,0.196,0.673,0.226,0.484,0.206,0.497,0.195,0.29,0.067,0.122,0.187,0.148,0.164,0.166,0.079,0.137,0.026,0.043,0.058,0.0,0.023,0.001,0.094,0.022,0.185,0.0,0.0,0.0,0.156,0.011,0.084,1.0
0.0,0.0,0.012,0.0,0.0,0.041,0.0,0.0,0.333,0.196,0.673,0.226,0.484,0.206,0.497,0.195,0.29,0.067,0.263,0.273,0.212,0.176,0.0,0.059,0.385,0.429,0.167,0.0,0.0,0.033,0.0,0.045,0.118,0.5,0.0,0.0,0.0,0.261,0.002,0.2,1.0
