@relation manifoldcf_release-1.0-RC6
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.015,0.029,0.125,0.0,0.0,0.012,0.555,0.02,0.047,0.009,0.264,0.016,0.026,0.011,0.034,0.006,0.172,0.001,0.115,0.055,0.041,0.015,0.18,0.0,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.017,0.0,-1.0
0.201,0.015,0.201,0.0,0.0,0.142,0.56,0.01,0.209,0.073,0.792,0.095,0.264,0.08,0.282,0.067,0.289,0.02,0.17,0.205,0.193,0.077,0.158,0.16,0.209,0.128,0.147,0.098,0.017,0.032,0.102,0.033,0.124,0.222,0.0,0.0,0.0,0.288,0.008,0.045,-1.0
0.015,0.0,0.014,0.0,0.0,0.017,0.75,0.01,0.047,0.073,0.792,0.095,0.264,0.08,0.282,0.067,0.289,0.02,0.0,0.055,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.002,0.0,-1.0
0.015,0.0,0.021,0.0,0.0,0.003,0.5,0.02,0.0,0.073,0.792,0.095,0.264,0.08,0.282,0.067,0.289,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.03,0.0,0.035,0.0,0.0,0.005,0.5,0.03,0.0,0.073,0.792,0.095,0.264,0.08,0.282,0.067,0.289,0.02,0.0,0.055,0.0,0.02,0.134,0.0,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.069,0.002,0.0,-1.0
0.037,0.0,0.042,0.0,0.0,0.017,0.665,0.02,0.07,0.073,0.792,0.095,0.264,0.08,0.282,0.067,0.289,0.02,0.138,0.177,0.188,0.047,0.36,0.144,0.175,0.12,0.051,0.0,0.029,0.012,0.031,0.031,0.044,0.167,0.0,0.0,0.0,0.18,0.002,0.0,-1.0
0.112,0.221,0.0,0.0,0.0,0.012,0.0,0.01,0.0,0.002,0.132,0.004,0.032,0.003,0.035,0.002,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.037,0.074,0.0,0.0,0.0,0.001,0.0,0.05,0.0,0.001,0.151,0.002,0.015,0.001,0.019,0.001,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.015,0.029,0.125,0.0,0.0,0.013,0.555,0.02,0.047,0.009,0.264,0.016,0.027,0.011,0.034,0.006,0.168,0.001,0.115,0.055,0.041,0.015,0.18,0.0,0.395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.017,0.0,-1.0
0.112,0.221,0.0,0.0,0.0,0.009,0.0,0.02,0.0,0.002,0.094,0.003,0.022,0.002,0.024,0.001,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
