@relation myfaces-tobago_tobago-1.0.11
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.026,0.0,0.154,0.0,0.0,0.074,0.5,0.006,0.0,0.061,0.707,0.043,0.08,0.054,0.123,0.038,0.309,0.013,0.0,0.119,0.024,0.079,0.079,0.049,0.166,0.068,0.034,0.0,0.0,0.029,0.018,0.082,0.015,0.09,0.0,0.0,0.0,0.103,0.003,0.0,-1.0
0.036,0.0,0.115,0.0,0.0,0.14,0.575,0.0,0.036,0.158,0.78,0.136,0.211,0.149,0.252,0.12,0.429,0.057,0.098,0.144,0.138,0.132,0.044,0.128,0.193,0.155,0.058,0.075,0.0,0.073,0.024,0.142,0.045,0.25,0.0,0.0,0.0,0.226,0.003,0.0,-1.0
0.005,0.0,0.026,0.1,0.2,0.018,0.875,0.0,0.0,0.016,0.244,0.022,0.047,0.018,0.06,0.011,0.101,0.001,0.212,0.062,0.067,0.061,0.0,0.045,0.682,0.0,0.0,0.0,0.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.163,0.008,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.024,0.5,0.006,0.036,0.025,0.39,0.03,0.065,0.027,0.086,0.018,0.152,0.003,0.182,0.25,0.233,0.225,0.0,0.133,0.0,0.5,0.0,0.5,0.0,0.045,0.0,0.105,0.083,0.5,0.0,0.0,0.0,0.294,0.003,0.0,-1.0
0.016,0.0,0.038,0.0,0.0,0.016,1.0,0.0,0.036,0.026,0.341,0.032,0.063,0.028,0.081,0.019,0.151,0.003,0.121,0.083,0.0,0.056,0.143,0.0,0.152,0.0,0.062,0.0,0.0,0.0,0.0,0.017,0.0,0.082,0.0,0.0,0.0,0.235,0.003,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.028,0.5,0.006,0.036,0.028,0.39,0.033,0.073,0.03,0.094,0.021,0.153,0.004,0.182,0.312,0.233,0.268,0.0,0.133,0.0,0.5,0.0,0.5,0.0,0.045,0.0,0.105,0.083,0.5,0.0,0.0,0.0,0.392,0.003,0.0,-1.0
0.016,0.0,0.038,0.0,0.0,0.016,1.0,0.0,0.071,0.03,0.341,0.038,0.07,0.033,0.088,0.022,0.164,0.004,0.121,0.083,0.0,0.056,0.143,0.0,0.152,0.0,0.062,0.0,0.0,0.0,0.0,0.017,0.0,0.082,0.0,0.0,0.0,0.242,0.003,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.024,0.5,0.006,0.036,0.025,0.39,0.03,0.065,0.027,0.086,0.018,0.152,0.003,0.182,0.062,0.067,0.07,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.045,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.118,0.003,0.0,-1.0
0.016,0.0,0.038,0.0,0.0,0.016,1.0,0.0,0.036,0.024,0.341,0.03,0.061,0.026,0.079,0.017,0.145,0.003,0.121,0.083,0.0,0.056,0.143,0.0,0.152,0.0,0.062,0.0,0.0,0.0,0.0,0.017,0.0,0.082,0.0,0.0,0.0,0.235,0.003,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.024,0.5,0.006,0.036,0.025,0.39,0.03,0.065,0.027,0.086,0.018,0.152,0.003,0.182,0.062,0.067,0.07,0.0,0.0,0.455,0.0,0.0,0.0,0.0,0.045,0.0,0.105,0.0,0.0,0.0,0.0,0.0,0.118,0.003,0.0,-1.0
0.016,0.0,0.038,0.0,0.0,0.016,1.0,0.0,0.036,0.026,0.341,0.032,0.063,0.028,0.081,0.019,0.151,0.003,0.121,0.083,0.0,0.056,0.143,0.0,0.152,0.0,0.062,0.0,0.0,0.0,0.0,0.017,0.0,0.082,0.0,0.0,0.0,0.235,0.003,0.0,-1.0
0.0,0.0,0.013,0.0,0.6,0.103,0.0,0.006,0.0,0.151,0.732,0.153,0.26,0.152,0.295,0.126,0.373,0.052,0.666,0.396,0.567,0.441,0.047,0.4,0.834,0.168,0.313,0.335,0.0,0.478,0.12,0.351,0.167,0.668,0.0,0.0,0.0,0.562,0.011,0.0,-1.0
0.021,0.0,0.103,0.067,0.0,0.04,0.625,0.0,0.0,0.046,0.317,0.04,0.061,0.044,0.078,0.029,0.187,0.006,0.114,0.125,0.083,0.06,0.071,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.093,0.003,0.0,-1.0
0.0,0.0,0.026,0.0,0.4,0.123,0.0,0.006,0.0,0.168,0.634,0.168,0.321,0.168,0.346,0.143,0.292,0.047,0.348,0.114,0.272,0.195,0.047,0.2,0.493,0.0,0.094,0.25,0.0,0.157,0.019,0.175,0.056,0.208,0.0,0.0,0.0,0.346,0.007,0.0,-1.0
0.197,0.01,0.051,0.0,0.4,0.487,0.61,0.012,0.0,0.557,0.854,0.51,0.616,0.538,0.641,0.508,0.621,0.341,0.344,0.268,0.259,0.242,0.08,0.217,0.739,0.165,0.152,0.095,0.01,0.059,0.029,0.187,0.042,0.515,0.273,0.0,0.0,0.341,0.007,0.0,-1.0
0.005,0.0,0.051,0.0,0.2,0.069,0.5,0.0,0.0,0.105,0.488,0.085,0.14,0.097,0.164,0.073,0.262,0.021,0.208,0.143,0.219,0.129,0.0,0.029,0.195,0.142,0.054,0.0,0.023,0.134,0.0,0.023,0.202,0.285,0.0,0.0,0.0,0.233,0.004,0.6,-1.0
0.016,0.0,0.026,0.033,0.4,0.305,0.555,0.006,0.0,0.37,0.829,0.342,0.436,0.359,0.469,0.322,0.568,0.199,0.415,0.232,0.248,0.21,0.026,0.145,0.577,0.125,0.214,0.02,0.0,0.129,0.025,0.132,0.036,0.358,0.0,0.0,0.0,0.339,0.009,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.034,0.5,0.0,0.0,0.017,0.366,0.023,0.056,0.02,0.076,0.013,0.128,0.002,0.0,0.125,0.067,0.141,0.143,0.333,0.455,0.25,0.0,0.0,0.0,0.0,0.028,0.263,0.0,0.25,0.0,0.0,0.0,0.353,0.003,0.0,-1.0
0.036,0.0,0.013,0.0,0.2,0.104,0.93,0.0,0.0,0.039,0.341,0.041,0.098,0.04,0.114,0.028,0.129,0.004,0.117,0.116,0.11,0.097,0.143,0.047,0.0,0.035,0.054,0.0,0.0,0.032,0.004,0.045,0.0,0.108,0.0,0.0,0.0,0.171,0.009,0.0,-1.0
0.041,0.0,0.013,0.0,0.2,0.114,0.93,0.0,0.0,0.05,0.415,0.045,0.11,0.048,0.131,0.035,0.15,0.006,0.117,0.125,0.11,0.107,0.163,0.047,0.0,0.035,0.054,0.0,0.0,0.032,0.004,0.045,0.0,0.142,0.0,0.0,0.0,0.174,0.009,0.0,-1.0
0.13,0.0,0.064,0.067,0.0,0.581,0.64,0.0,0.0,0.37,0.902,0.281,0.442,0.334,0.478,0.301,0.495,0.162,0.095,0.204,0.152,0.168,0.069,0.096,0.168,0.092,0.077,0.13,0.025,0.098,0.008,0.111,0.056,0.232,0.0,0.0,0.0,0.302,0.506,0.096,-1.0
0.005,0.0,0.013,0.067,0.0,0.022,1.0,0.0,0.0,0.015,0.341,0.015,0.044,0.015,0.063,0.01,0.094,0.001,0.091,0.062,0.083,0.077,0.143,0.033,0.114,0.0,0.0,0.0,0.0,0.112,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.157,0.007,0.0,-1.0
0.041,0.005,0.077,0.0,0.2,0.118,0.5,0.0,0.0,0.085,0.683,0.077,0.162,0.082,0.199,0.064,0.275,0.02,0.111,0.098,0.152,0.094,0.063,0.045,0.152,0.028,0.0,0.11,0.0,0.064,0.003,0.035,0.056,0.14,0.0,0.0,0.0,0.248,0.005,0.112,-1.0
0.021,0.0,0.013,0.0,0.2,0.124,0.5,0.0,0.0,0.095,0.756,0.089,0.188,0.092,0.228,0.073,0.302,0.025,0.212,0.479,0.422,0.408,0.096,0.311,0.227,0.25,0.126,0.835,0.0,0.179,0.028,0.298,0.194,0.832,0.0,0.0,0.0,0.536,0.004,0.2,-1.0
0.0,0.0,0.013,0.0,0.0,0.011,0.0,0.0,0.25,0.014,0.146,0.009,0.04,0.012,0.046,0.007,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.039,0.5,0.006,0.0,0.043,0.439,0.051,0.106,0.047,0.129,0.034,0.186,0.007,0.636,0.5,0.3,0.423,0.0,0.2,0.455,0.0,0.75,0.5,0.0,0.045,0.0,0.316,0.083,1.0,0.0,0.0,0.0,0.451,0.003,0.0,-1.0
0.0,0.0,0.038,0.0,0.0,0.011,0.0,0.0,0.0,0.012,0.22,0.017,0.045,0.014,0.056,0.009,0.073,0.001,0.121,0.083,0.033,0.047,0.0,0.0,0.302,0.0,0.062,0.0,0.0,0.015,0.0,0.0,0.0,0.082,0.0,0.0,0.0,0.098,0.003,0.0,-1.0
0.01,0.0,0.026,0.0,0.0,0.014,0.5,0.006,0.036,0.021,0.244,0.03,0.073,0.024,0.084,0.016,0.092,0.002,0.364,0.062,0.167,0.085,0.0,0.2,0.455,0.0,0.0,0.0,0.0,0.0,0.0,0.158,0.0,0.0,0.0,0.0,0.0,0.294,0.003,0.0,-1.0
0.005,0.0,0.026,0.0,0.0,0.017,0.5,0.006,0.0,0.023,0.366,0.032,0.077,0.027,0.096,0.019,0.135,0.003,0.455,0.188,0.1,0.155,0.0,0.067,0.455,0.0,0.0,0.0,0.0,0.045,0.0,0.053,0.083,0.5,0.0,0.0,0.0,0.333,0.003,0.0,-1.0
0.021,0.0,0.026,0.0,0.0,0.046,0.5,0.006,0.036,0.051,0.415,0.056,0.12,0.053,0.141,0.039,0.173,0.008,0.091,0.062,0.033,0.099,0.0,0.0,0.227,0.0,0.0,0.0,0.0,0.179,0.0,0.211,0.0,0.0,0.0,0.0,0.0,0.216,0.003,0.0,1.0
0.016,0.005,0.038,0.0,0.0,0.02,0.5,0.019,0.071,0.026,0.366,0.03,0.061,0.028,0.081,0.018,0.157,0.003,0.364,0.125,0.067,0.077,0.143,0.0,0.568,0.0,0.0,0.0,0.083,0.022,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.245,0.003,0.0,-1.0
0.005,0.0,0.026,0.0,0.0,0.007,0.5,0.0,0.036,0.026,0.366,0.03,0.061,0.028,0.081,0.018,0.157,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.016,0.005,0.038,0.0,0.0,0.02,0.5,0.025,0.071,0.026,0.366,0.03,0.061,0.028,0.081,0.018,0.157,0.003,0.364,0.125,0.067,0.077,0.143,0.0,0.568,0.0,0.0,0.0,0.083,0.022,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.225,0.003,0.0,-1.0
0.005,0.0,0.026,0.0,0.0,0.007,0.5,0.0,0.036,0.026,0.366,0.03,0.061,0.028,0.081,0.018,0.157,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
