@relation nifi_rel-nifi-0.6.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.017,0.0,0.027,0.0,0.0,0.023,0.5,0.114,0.008,0.008,0.308,0.007,0.014,0.008,0.022,0.004,0.123,0.001,0.008,0.071,0.01,0.042,0.121,0.006,0.071,0.0,0.02,0.0,0.03,0.0,0.015,0.004,0.024,0.024,0.0,0.0,0.0,0.12,0.001,0.0,-1.0
0.0,0.0,0.021,0.0,0.333,0.037,0.0,0.0,0.041,0.027,0.519,0.023,0.051,0.026,0.064,0.017,0.198,0.004,0.108,0.161,0.086,0.085,0.119,0.046,0.121,0.095,0.135,0.0,0.014,0.004,0.004,0.045,0.016,0.121,0.0,0.0,0.0,0.224,0.007,0.0,-1.0
0.0,0.0,0.0,0.014,0.0,0.008,0.0,0.038,0.017,0.002,0.115,0.003,0.012,0.002,0.015,0.001,0.023,0.0,0.04,0.038,0.0,0.007,0.0,0.0,0.114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.291,0.0,0.0,-1.0
0.163,0.006,0.1,0.0,0.0,0.121,0.525,0.886,0.066,0.075,0.692,0.064,0.089,0.071,0.107,0.05,0.416,0.025,0.048,0.1,0.034,0.06,0.127,0.019,0.064,0.025,0.053,0.0,0.018,0.005,0.009,0.035,0.021,0.057,0.0,0.0,0.0,0.11,0.001,0.0,1.0
0.064,0.0,0.049,0.0,0.0,0.055,0.5,0.01,0.025,0.075,0.692,0.064,0.089,0.071,0.107,0.05,0.416,0.025,0.098,0.119,0.02,0.069,0.098,0.0,0.137,0.125,0.108,0.0,0.0,0.002,0.0,0.033,0.003,0.193,0.0,0.0,0.0,0.118,0.001,0.0,1.0
0.029,0.0,0.003,0.0,0.333,0.011,0.5,0.003,0.017,0.075,0.692,0.064,0.089,0.071,0.107,0.05,0.416,0.025,0.05,0.19,0.184,0.134,0.0,0.074,0.143,0.5,0.0,0.0,0.0,0.013,0.044,0.128,0.071,0.286,0.0,0.0,0.0,0.382,0.002,0.0,1.0
0.0,0.0,0.058,0.0,0.0,0.034,0.0,0.048,0.017,0.007,0.096,0.011,0.026,0.008,0.028,0.005,0.044,0.0,0.091,0.048,0.0,0.009,0.0,0.0,0.207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.406,0.001,0.0,-1.0
0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.329,0.017,0.003,0.096,0.004,0.016,0.003,0.018,0.002,0.026,0.0,0.035,0.043,0.0,0.008,0.0,0.0,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.134,0.0,0.0,-1.0
0.047,0.0,0.036,0.0,0.0,0.037,0.575,0.104,0.017,0.02,0.423,0.015,0.023,0.018,0.034,0.01,0.217,0.003,0.016,0.111,0.009,0.062,0.162,0.008,0.047,0.0,0.079,0.0,0.058,0.009,0.034,0.023,0.064,0.063,0.0,0.0,0.0,0.078,0.001,0.0,-1.0
0.023,0.0,0.015,0.0,0.0,0.014,1.0,0.0,0.0,0.02,0.423,0.015,0.023,0.018,0.034,0.01,0.217,0.003,0.05,0.063,0.0,0.039,0.091,0.0,0.096,0.0,0.039,0.0,0.0,0.0,0.0,0.017,0.0,0.047,0.0,0.0,0.0,0.076,0.001,0.0,-1.0
0.012,0.0,0.006,0.014,0.0,0.008,0.0,0.114,0.025,0.004,0.212,0.005,0.012,0.004,0.017,0.002,0.068,0.0,0.15,0.048,0.082,0.027,0.091,0.0,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.073,0.001,0.0,-1.0
