@relation systemml_v0.14.0-incubating-rc4
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.043,0.0,0.016,0.0,0.25,0.011,0.7,0.0,0.033,0.012,0.51,0.011,0.071,0.012,0.093,0.008,0.045,0.001,0.042,0.088,0.035,0.036,0.024,0.017,0.093,0.089,0.036,0.0,0.011,0.005,0.022,0.018,0.012,0.038,0.0,0.0,0.0,0.072,0.202,0.0,-1.0
0.085,0.0,0.047,0.0,0.0,0.013,0.5,0.004,0.0,0.007,0.235,0.004,0.017,0.006,0.028,0.003,0.029,0.0,0.003,0.034,0.0,0.016,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.001,0.0,-1.0
0.043,0.0,0.057,0.0,0.0,0.032,0.59,0.626,0.017,0.008,0.294,0.009,0.026,0.009,0.04,0.005,0.056,0.0,0.005,0.034,0.015,0.018,0.008,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.086,0.001,0.0,-1.0
0.096,0.0,0.073,0.0,0.0,0.017,0.605,0.004,0.0,0.009,0.216,0.006,0.024,0.008,0.034,0.004,0.029,0.0,0.004,0.034,0.0,0.017,0.035,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.027,0.001,0.0,-1.0
0.489,0.089,0.083,0.015,0.0,0.333,0.57,0.008,0.367,0.238,0.922,0.232,0.615,0.235,0.631,0.22,0.194,0.055,0.054,0.103,0.044,0.056,0.019,0.017,0.135,0.02,0.066,0.06,0.006,0.03,0.014,0.017,0.031,0.03,0.0,0.0,0.0,0.158,0.011,0.0,1.0
0.011,0.0,0.005,0.0,0.0,0.005,0.5,0.0,0.0,0.238,0.922,0.232,0.615,0.235,0.631,0.22,0.194,0.055,0.0,0.102,0.049,0.069,0.0,0.0,0.067,0.0,0.091,0.0,0.053,0.013,0.028,0.034,0.0,0.095,0.0,0.0,0.0,0.085,0.001,0.0,1.0
0.011,0.0,0.005,0.0,0.0,0.005,0.5,0.0,0.0,0.238,0.922,0.232,0.615,0.235,0.631,0.22,0.194,0.055,0.0,0.102,0.049,0.069,0.0,0.0,0.067,0.0,0.091,0.0,0.053,0.013,0.028,0.034,0.0,0.095,0.0,0.0,0.0,0.079,0.001,0.0,1.0
0.085,0.0,0.016,0.0,0.0,0.033,0.75,0.0,0.0,0.051,0.608,0.042,0.122,0.047,0.147,0.035,0.116,0.005,0.035,0.35,0.086,0.18,0.0,0.111,0.133,0.037,0.575,0.0,0.281,0.191,0.435,0.187,0.115,0.032,0.0,0.0,0.0,0.145,0.002,0.11,-1.0
0.138,0.0,0.016,0.0,0.0,0.017,0.75,0.0,0.033,0.027,0.471,0.027,0.115,0.027,0.133,0.02,0.064,0.002,0.061,0.045,0.09,0.088,0.0,0.039,0.245,0.0,0.03,0.0,0.0,0.095,0.102,0.079,0.007,0.016,0.0,0.0,0.0,0.162,0.002,0.0,-1.0
0.053,0.0,0.016,0.0,0.0,0.015,0.75,0.0,0.017,0.022,0.51,0.02,0.107,0.021,0.127,0.015,0.053,0.001,0.061,0.068,0.086,0.076,0.013,0.061,0.022,0.074,0.03,0.0,0.0,0.113,0.167,0.06,0.054,0.032,0.0,0.0,0.0,0.119,0.005,0.0,-1.0
