@relation jena_jena-3.13.1
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.004,0.005,0.008,0.0,0.0,0.003,1.0,0.0,0.13,0.005,0.2,0.006,0.016,0.006,0.022,0.003,0.074,0.0,0.1,0.019,0.015,0.004,0.061,0.0,0.317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.0,0.0,-1.0
0.004,0.0,0.004,0.0,0.0,0.004,0.5,0.001,0.152,0.01,0.367,0.009,0.031,0.01,0.042,0.006,0.092,0.001,0.312,0.038,0.159,0.016,0.044,0.014,0.083,0.0,0.0,0.0,0.0,0.005,0.0,0.014,0.08,0.045,0.0,0.0,0.0,0.03,0.0,0.0,-1.0
0.004,0.0,0.008,0.0,0.0,0.002,0.5,0.0,0.087,0.005,0.233,0.006,0.022,0.005,0.028,0.003,0.057,0.0,0.042,0.019,0.0,0.004,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.008,0.0,0.0,-1.0
0.004,0.0,0.043,0.0,0.0,0.006,0.915,0.002,0.239,0.012,0.267,0.014,0.032,0.013,0.039,0.008,0.111,0.002,0.155,0.019,0.012,0.004,0.062,0.001,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.013,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.022,0.012,0.267,0.014,0.032,0.013,0.039,0.008,0.111,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.016,0.0,0.0,0.002,0.0,0.0,0.13,0.012,0.267,0.014,0.032,0.013,0.039,0.008,0.111,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
0.0,0.0,0.008,0.0,0.0,0.002,0.0,0.0,0.022,0.003,0.1,0.002,0.013,0.003,0.016,0.001,0.019,0.0,0.0,0.019,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,-1.0
0.004,0.0,0.012,0.0,0.0,0.01,0.75,0.001,0.609,0.028,0.517,0.03,0.08,0.03,0.094,0.021,0.167,0.006,0.41,0.035,0.159,0.015,0.103,0.013,0.388,0.0,0.019,0.028,0.0,0.003,0.0,0.014,0.047,0.045,0.0,0.0,0.0,0.041,0.0,0.024,-1.0
0.0,0.0,0.004,0.0,0.0,0.006,0.0,0.001,0.304,0.018,0.25,0.019,0.038,0.019,0.045,0.011,0.117,0.002,0.333,0.072,0.226,0.014,0.263,0.005,0.75,0.05,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.136,0.0,0.0,0.0,0.028,0.0,0.0,-1.0
0.0,0.0,0.004,0.0,0.0,0.001,0.0,0.0,0.043,0.002,0.117,0.002,0.012,0.002,0.016,0.001,0.02,0.0,0.083,0.038,0.098,0.006,0.175,0.003,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.091,0.0,0.0,0.0,0.011,0.0,0.0,-1.0
