@relation qpid-jms_0.3.0
@attribute NumberOfFields real
@attribute NumberOfPublicFields real
@attribute NumberOfPublicMethods_Designite real
@attribute NumberOfChildren real
@attribute DepthOfInheritance real
@attribute LOCClass real
@attribute LCOM real
@attribute FANIN real
@attribute FANOUT real
@attribute TotalNumberOfOperators real
@attribute NumberOfDistinctOperators real
@attribute TotalNumberOfOperands real
@attribute NumberOfDistinctOperands real
@attribute Length real
@attribute Vocabulary real
@attribute Volume real
@attribute Difficulty real
@attribute Effort real
@attribute CBO real
@attribute WMC_CK real
@attribute RFC real
@attribute LOCMethod_CK real
@attribute Returns real
@attribute NumberOfVariables real
@attribute NumberOfParameters_CK real
@attribute NumberOfLoops real
@attribute NumberOfComparisons real
@attribute NumberOfTryCatch real
@attribute NumberOfParenthesizedExps real
@attribute NumberOfStringLiterals real
@attribute NumberOfNumbers real
@attribute NumberOfAssignments real
@attribute NumberOfMathOperations real
@attribute MaxNumberOfNestedBlocks real
@attribute NumberOfAnonymousClasses real
@attribute NumberOfInnerClasses real
@attribute NumberOfLambdas real
@attribute NumberOfUniqueWords real
@attribute NumberOfModifiers real
@attribute NumberOfLogStatements real
@attribute Bugged real
@data
0.019,0.0,0.01,0.0,0.0,0.009,0.835,0.0,0.023,0.009,0.34,0.01,0.06,0.01,0.086,0.007,0.053,0.0,0.033,0.082,0.051,0.022,0.0,0.016,0.167,0.167,0.0,0.25,0.0,0.028,0.0,0.027,0.0,0.2,0.0,0.0,0.0,0.093,0.0,0.0,-1.0
0.038,0.048,0.01,0.0,0.0,0.012,0.5,0.041,0.114,0.016,0.34,0.019,0.089,0.017,0.113,0.012,0.071,0.001,0.3,0.061,0.186,0.021,0.0,0.048,0.25,0.167,0.0,0.0,0.0,0.028,0.0,0.041,0.0,0.1,0.0,0.0,0.0,0.15,0.0,0.125,-1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.023,0.001,0.06,0.002,0.011,0.002,0.015,0.001,0.01,0.0,0.067,0.041,0.0,0.003,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.0,-1.0
0.038,0.0,0.04,0.0,0.0,0.018,0.75,0.071,0.068,0.024,0.32,0.025,0.087,0.024,0.11,0.017,0.09,0.002,0.16,0.057,0.095,0.015,0.015,0.023,0.142,0.133,0.0,0.0,0.0,0.0,0.0,0.022,0.0,0.08,0.0,0.0,0.0,0.099,0.0,0.0,-1.0
0.038,0.0,0.03,0.0,0.0,0.03,0.665,0.061,0.227,0.043,0.56,0.053,0.187,0.047,0.224,0.038,0.151,0.006,0.296,0.075,0.164,0.029,0.157,0.072,0.435,0.02,0.055,0.11,0.0,0.024,0.004,0.063,0.006,0.112,0.0,0.0,0.0,0.16,0.0,0.055,-1.0
0.058,0.0,0.035,0.0,0.0,0.024,0.645,0.0,0.273,0.049,0.28,0.049,0.16,0.049,0.175,0.038,0.09,0.004,0.286,0.041,0.237,0.022,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.159,0.054,0.023,0.0,0.0,0.0,0.0,0.0,0.137,0.0,0.0,-1.0
0.019,0.0,0.015,0.0,0.0,0.008,0.835,0.0,0.068,0.012,0.2,0.013,0.069,0.013,0.082,0.009,0.039,0.0,0.155,0.041,0.102,0.021,0.0,0.022,0.055,0.0,0.0,0.0,0.0,0.037,0.042,0.018,0.0,0.0,0.024,0.0,0.0,0.095,0.0,0.0,-1.0
0.058,0.0,0.005,0.286,0.0,0.022,0.785,0.0,0.227,0.03,0.38,0.039,0.142,0.034,0.166,0.026,0.103,0.003,0.229,0.059,0.124,0.019,0.164,0.039,0.222,0.0,0.055,0.0,0.0,0.012,0.021,0.039,0.011,0.088,0.0,0.0,0.0,0.157,0.002,0.0,1.0
0.019,0.0,0.01,0.0,0.333,0.003,0.5,0.01,0.023,0.003,0.16,0.003,0.018,0.003,0.031,0.002,0.025,0.0,0.067,0.041,0.0,0.01,0.074,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.043,0.0,0.0,-1.0
0.058,0.0,0.01,0.0,0.333,0.033,0.5,0.071,0.159,0.052,0.48,0.06,0.225,0.055,0.253,0.045,0.126,0.006,0.333,0.095,0.232,0.036,0.222,0.065,0.25,0.057,0.167,0.0,0.0,0.056,0.0,0.068,0.0,0.166,0.0,0.0,0.0,0.233,0.0,0.168,1.0
