,Project,Version,Bugged,NumberOfFields,NumberOfPublicFields,NumberOfPublicMethods_Designite,NumberOfChildren,DepthOfInheritance,LOCClass,LCOM,FANIN,FANOUT,TotalNumberOfOperators,NumberOfDistinctOperators,TotalNumberOfOperands,NumberOfDistinctOperands,Length,Vocabulary,Volume,Difficulty,Effort,CBO,WMC_CK,RFC,LOCMethod_CK,Returns,NumberOfVariables,NumberOfParameters_CK,NumberOfLoops,NumberOfComparisons,NumberOfTryCatch,NumberOfParenthesizedExps,NumberOfStringLiterals,NumberOfNumbers,NumberOfAssignments,NumberOfMathOperations,MaxNumberOfNestedBlocks,NumberOfAnonymousClasses,NumberOfInnerClasses,NumberOfLambdas,NumberOfUniqueWords,NumberOfModifiers,NumberOfLogStatements,index
277307,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,0.0,26.0,-1.0,0.0,6.0,226.0,20.0,174.0,63.0,400.0,83.0,2550.02,27.62,70429.01,11.0,2.0,8.0,24.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,27.0,9.0,0.0,36
277308,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,0.0,24.0,-1.0,0.0,4.0,193.0,19.0,141.0,55.0,334.0,74.0,2073.96,24.35,50510.29,7.0,2.0,12.0,22.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,6.0,2.0,10.0,0.0,1.0,0.0,0.0,0.0,17.0,9.0,0.0,36
277309,avro,release-1.8.0,False,2.0,0.0,4.0,0.0,0.0,49.0,1.0,0.0,3.0,349.0,28.0,241.0,103.0,590.0,131.0,4149.72,32.76,135933.53,5.75,1.75,6.5,9.5,0.5,1.25,2.5,0.5,0.25,0.0,0.0,0.5,1.5,1.5,0.0,0.75,0.0,0.0,0.0,9.25,3.0,0.0,36
277310,avro,release-1.8.0,False,2.0,0.0,1.0,0.0,0.0,12.0,0.0,2.0,0.0,349.0,28.0,241.0,103.0,590.0,131.0,4149.72,32.76,135933.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277311,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,0.0,9.0,-1.0,2.0,0.0,349.0,28.0,241.0,103.0,590.0,131.0,4149.72,32.76,135933.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277312,avro,release-1.8.0,False,3.0,3.0,1.0,0.0,0.0,22.0,0.0,0.0,2.0,175.0,24.0,116.0,54.0,291.0,78.0,1829.05,25.78,47148.9,4.0,3.0,7.0,17.0,0.0,6.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,24.0,9.0,0.0,36
277313,avro,release-1.8.0,False,0.0,0.0,4.0,0.0,0.0,45.0,-1.0,1.0,9.0,379.0,28.0,300.0,105.0,679.0,133.0,4790.54,40.0,191621.47,5.75,2.0,6.75,9.75,0.5,1.0,2.0,0.25,0.5,0.0,0.25,0.75,2.0,1.5,0.0,0.75,0.0,0.0,0.0,10.75,3.0,0.0,36
277314,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,0.0,9.0,-1.0,2.0,1.0,379.0,28.0,300.0,105.0,679.0,133.0,4790.54,40.0,191621.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277315,avro,release-1.8.0,False,0.0,0.0,1.0,0.0,0.0,9.0,-1.0,2.0,1.0,379.0,28.0,300.0,105.0,679.0,133.0,4790.54,40.0,191621.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36
277316,avro,release-1.8.0,False,0.0,0.0,4.0,0.0,0.0,40.0,-1.0,0.0,3.0,284.0,28.0,207.0,90.0,491.0,118.0,3379.38,32.2,108815.96,4.25,1.75,4.5,8.5,0.5,1.0,2.25,0.25,0.5,0.0,0.0,0.75,1.75,1.5,0.0,0.75,0.0,0.0,0.0,10.25,3.0,0.0,36
